date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:32	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:31%20GMT	https://s4shanmugsundar.wixsite.com/aa613bd1.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/aa613bd1.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:32	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:31%20GMT	https://s4shanmugsundar.wixsite.com/395efea1.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/395efea1.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:32	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:31%20GMT	https://s4shanmugsundar.wixsite.com/6daaad8b.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/6daaad8b.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:33	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:32%20GMT	https://s4shanmugsundar.wixsite.com/bf91693c.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/bf91693c.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:33	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:32%20GMT	https://s4shanmugsundar.wixsite.com/b4ae8803.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/b4ae8803.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:34	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:32%20GMT	https://s4shanmugsundar.wixsite.com/62ccedec.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/62ccedec.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:36	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:34%20GMT	https://s4shanmugsundar.wixsite.com/ae08c227.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/ae08c227.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:36	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:35%20GMT	https://s4shanmugsundar.wixsite.com/11f27093.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/11f27093.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:36	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:35%20GMT	https://s4shanmugsundar.wixsite.com/9b155e90.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/9b155e90.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:37	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:36%20GMT	https://s4shanmugsundar.wixsite.com/4ec2545d.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/4ec2545d.min.css	(from https://s4shanmugsundar.wixsite.com/website)
